date,symbol,open,close,low,high,volume
2020-05-09 05-PM,BTCUSDT,9758.84,9774.95,9728,9795,17572434.39
2020-05-09 04-PM,BTCUSDT,9688.62,9758.84,9672,9777.48,37616417.05
2020-05-09 03-PM,BTCUSDT,9698.04,9688.62,9627.03,9700,26525110.16
2020-05-09 02-PM,BTCUSDT,9717.99,9698.04,9665,9719.22,23716495.39
2020-05-09 01-PM,BTCUSDT,9670.57,9717.99,9618.79,9718,22717532.48
2020-05-09 12-PM,BTCUSDT,9638.85,9670.57,9600.6,9693.74,28587712.8
2020-05-09 11-AM,BTCUSDT,9628.98,9638.85,9520,9659.51,48577187.29
2020-05-09 10-AM,BTCUSDT,9693.25,9628.98,9560,9694.7,39758862.2
2020-05-09 09-AM,BTCUSDT,9677.25,9693.25,9645.08,9718.97,34619469.41
2020-05-09 08-AM,BTCUSDT,9592.77,9677.25,9590.7,9699,39926482.33
2020-05-09 07-AM,BTCUSDT,9697.55,9592.77,9561,9741.13,72626928.56
2020-05-09 06-AM,BTCUSDT,9830.02,9697.55,9600,9835.77,68163906.37
2020-05-09 05-AM,BTCUSDT,9830.23,9830.02,9752,9840.16,26934007.84
2020-05-09 04-AM,BTCUSDT,9863.02,9830.23,9780.05,9878.99,32387024.38
2020-05-09 03-AM,BTCUSDT,9849.33,9863.02,9849.33,9890,13839134.69
2020-05-09 02-AM,BTCUSDT,9853.06,9849.33,9825.53,9874.29,18598822.05
2020-05-09 01-AM,BTCUSDT,9868.79,9853.06,9842.92,9914.25,23248394.12
2020-05-09 12-AM,BTCUSDT,9800.01,9868.79,9728.46,9886.33,52641225.74
2020-05-08 11-PM,BTCUSDT,9873.95,9800.01,9780,9920.36,63140321.95
2020-05-08 10-PM,BTCUSDT,9996,9873.95,9845,10000.52,42435410.14
2020-05-08 09-PM,BTCUSDT,9980,9996,9956,9998.48,19417412.38
2020-05-08 08-PM,BTCUSDT,9945.99,9980,9922.71,9985.58,21656705.98
2020-05-08 07-PM,BTCUSDT,9888.94,9945.99,9860.52,9963.93,28192525.35
2020-05-08 06-PM,BTCUSDT,9962.92,9888.94,9866.88,9978.1,30506903.16
2020-05-08 05-PM,BTCUSDT,9973.23,9962.92,9922.24,9979.94,30958258.19
2020-05-08 04-PM,BTCUSDT,9941.21,9973.23,9913.59,9995,43048490.68
2020-05-08 03-PM,BTCUSDT,9954.99,9941.21,9912,10006.98,74646965.42
2020-05-08 02-PM,BTCUSDT,9883.06,9954.99,9866.23,9986.45,52645412.6
2020-05-08 01-PM,BTCUSDT,9829.12,9883.06,9817,9895,23190499.88
2020-05-08 12-PM,BTCUSDT,9899.75,9829.12,9780,9925,49584278.05
2020-05-08 11-AM,BTCUSDT,9953.09,9899.75,9874,9953.09,40484128.34
2020-05-08 10-AM,BTCUSDT,9833.4,9953.09,9818.01,9964.99,40621142.03
2020-05-08 09-AM,BTCUSDT,9859.9,9833.4,9813.28,9873.54,24552102.3
2020-05-08 08-AM,BTCUSDT,9810.14,9859.9,9807.98,9900,39187040.26
2020-05-08 07-AM,BTCUSDT,9766.68,9810.14,9705,9827.83,57502061.04
2020-05-08 06-AM,BTCUSDT,9866.14,9766.68,9745.61,9869.18,60049843.61
2020-05-08 05-AM,BTCUSDT,9907.37,9866.14,9805,9919,35525780.19
2020-05-08 04-AM,BTCUSDT,9930.69,9907.37,9862.55,9933.94,25062829.49
2020-05-08 03-AM,BTCUSDT,9899.52,9930.69,9822.5,9947.6,37478126.52
2020-05-08 02-AM,BTCUSDT,9987.04,9899.52,9852,9991,43009274.69
2020-05-08 01-AM,BTCUSDT,10019.82,9987.04,9925,10024.96,43040050.71
2020-05-08 12-AM,BTCUSDT,9986.4,10019.82,9845.8,10035.96,71070280.79
2020-05-07 11-PM,BTCUSDT,9892.8,9986.4,9854.45,10067,127925840.64
2020-05-07 10-PM,BTCUSDT,9871.91,9892.8,9820.3,9930,38365019.33
2020-05-07 09-PM,BTCUSDT,9797.34,9871.91,9750.1,9890,35073656.35
2020-05-07 08-PM,BTCUSDT,9863.93,9797.34,9721.01,9895.02,60465528.54
2020-05-07 07-PM,BTCUSDT,9793.47,9863.93,9724.97,9950,96019179.44
2020-05-07 06-PM,BTCUSDT,9832.08,9793.47,9730.36,9855.11,73761434.84
2020-05-07 05-PM,BTCUSDT,9631.03,9832.08,9628.63,9887,202358463.35
2020-05-07 04-PM,BTCUSDT,9515.51,9631.03,9503.34,9634.74,69855791.59
2020-05-07 03-PM,BTCUSDT,9496.49,9515.51,9350,9567.37,87267275.56
2020-05-07 02-PM,BTCUSDT,9486.53,9496.49,9481.63,9537,49105005.78
2020-05-07 01-PM,BTCUSDT,9368.96,9486.53,9304,9590,187787376.35
2020-05-07 12-PM,BTCUSDT,9280.01,9368.96,9262,9374.93,39651070.53
2020-05-07 11-AM,BTCUSDT,9290.48,9280.01,9247.1,9310,20765751.97
2020-05-07 10-AM,BTCUSDT,9312.99,9290.48,9260.8,9323,23420623.18
2020-05-07 09-AM,BTCUSDT,9338.84,9312.99,9265.22,9338.84,22320809.31
2020-05-07 08-AM,BTCUSDT,9309.92,9338.84,9273.01,9340,23113355.17
2020-05-07 07-AM,BTCUSDT,9251.83,9309.92,9235.62,9315,20505493.32
2020-05-07 06-AM,BTCUSDT,9269,9251.83,9242,9304,17066154.18
2020-05-07 05-AM,BTCUSDT,9276.57,9269,9230.9,9312.23,22307868.2
2020-05-07 04-AM,BTCUSDT,9290.39,9276.57,9240.06,9323.51,21754310.9
2020-05-07 03-AM,BTCUSDT,9330.88,9290.39,9252.04,9350,33563015.72
2020-05-07 02-AM,BTCUSDT,9224.51,9330.88,9193.13,9374.93,42257716.16
2020-05-07 01-AM,BTCUSDT,9183.7,9224.51,9183.7,9244.6,28546015.85
2020-05-07 12-AM,BTCUSDT,9142.92,9183.7,9021,9208,66526705.75
2020-05-06 11-PM,BTCUSDT,9357.09,9142.92,9079,9395,80655599.95
2020-05-06 10-PM,BTCUSDT,9276.99,9357.09,9270,9375,46593364.58
2020-05-06 09-PM,BTCUSDT,9236.23,9276.99,9235.82,9287.82,14456661.31
2020-05-06 08-PM,BTCUSDT,9237.73,9236.23,9205.82,9251.33,16683881.11
2020-05-06 07-PM,BTCUSDT,9234.58,9237.73,9222,9284.86,19184436.74
2020-05-06 06-PM,BTCUSDT,9265.77,9234.58,9190.51,9265.77,22921036.28
2020-05-06 05-PM,BTCUSDT,9266.61,9265.77,9224.33,9284,25394571.5
2020-05-06 04-PM,BTCUSDT,9273.39,9266.61,9212,9315.23,38248140.93
2020-05-06 03-PM,BTCUSDT,9230,9273.39,9214.99,9292.92,39656301.0
2020-05-06 02-PM,BTCUSDT,9226.81,9230,9180,9249.23,43219335.74
2020-05-06 01-PM,BTCUSDT,9224.98,9226.81,9125,9273.15,62142486.09
2020-05-06 12-PM,BTCUSDT,9313,9224.98,9207.58,9380,79862545.71
